cuda:0 is available
start
is_continuous: False
n_episode: 2000
max_episode_steps: 1000
action_space Discrete(5)
The shape of an observation:  (4, 84, 84)
the shape of action_space: 5
n_episode :165, score : -1.259, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :166, score : -1.043, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :167, score : -1.128, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :168, score : -1.493, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :169, score : -0.579, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :170, score : -1.291, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :171, score : -0.956, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :172, score : -1.302, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :173, score : -1.297, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :174, score : -1.191, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :175, score : -1.268, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :176, score : -1.501, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :177, score : -1.237, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :178, score : -1.184, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :179, score : -1.557, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :180, score : -1.174, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :181, score : -1.023, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :182, score : -1.321, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :183, score : -1.430, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :184, score : -1.012, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :185, score : -1.276, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :186, score : -1.477, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :187, score : -1.365, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :188, score : -1.064, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :189, score : -1.043, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :190, score : -0.966, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :191, score : -1.182, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :192, score : -1.058, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :193, score : -1.399, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :194, score : -1.311, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :195, score : -1.140, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :196, score : -1.085, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :197, score : -1.229, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :198, score : -0.832, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :199, score : -1.149, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :200, score : -1.103, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :201, score : -1.066, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
n_episode :202, score : -1.318, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:14
n_episode :203, score : -1.442, n_buffer : 50000, eps : 100.0%, step : 1000, time : 0:00:13
